DisplayName,DisplayVersion,ProcessName,InstallDate,ContentType,PackageIdentifiers
XProtectPlistConfigData," 5318",softwareupdated,2025-10-11T17:45:23Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4396""
]"
XProtectPlistConfigData," 5319",softwareupdated,2025-10-15T19:41:51Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4398""
]"
XProtectCloudKitUpdate," 5320",XProtectUpdateService,2025-10-22T06:02:55Z,,
XProtectPlistConfigData," 5320",softwareupdated,2025-10-22T08:38:57Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4400""
]"
XProtectCloudKitUpdate," 5321",XProtectUpdateService,2025-10-23T19:58:45Z,,
XProtectCloudKitUpdate," 5322",XProtectUpdateService,2025-11-09T15:22:23Z,,
XProtectCloudKitUpdate," 5323",XProtectUpdateService,2025-11-13T11:16:20Z,,
XProtectPayloads," 156",softwareupdated,2025-11-13T21:27:33Z,config-data,"[
 ""com.apple.pkg.XProtectPayloads_10_15.16U4404""
]"
XProtectPlistConfigData," 5323",softwareupdated,2025-11-13T21:27:33Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4406""
]"
macOS 26.1," 26.1",softwareupdated,2025-11-16T14:55:58Z,,
RosettaUpdateAuto,,bootinstalld,2025-11-16T14:56:06Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
Command Line Tools for Xcode 26.1," 26.1",softwareupdated,2025-11-19T17:30:52Z,,"[
 ""com.apple.pkg.CLTools_Executables"",
 ""com.apple.pkg.CLTools_SDK_macOS_NMOS"",
 ""com.apple.pkg.CLTools_SDK_macOS_LMOS"",
 ""com.apple.pkg.CLTools_macOS_SDK"",
 ""com.apple.pkg.CLTools_SwiftBackDeploy"",
 ""com.apple.pkg.CLTools_SDK_macOS14"",
 ""com.apple.pkg.CLTools_SDK_macOS13"",
 ""com.apple.pkg.CLTools_SDK_macOS12"",
 ""com.apple.pkg.CLTools_SDK_macOS110""
]"
XProtectCloudKitUpdate," 5324",XProtectUpdateService,2025-12-11T18:14:21Z,,
XProtectPlistConfigData," 5325",softwareupdated,2025-12-22T15:16:35Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4408""
]"
Command Line Tools for Xcode 26.2," 26.2",softwareupdated,2025-12-25T21:15:23Z,,"[
 ""com.apple.pkg.CLTools_Executables"",
 ""com.apple.pkg.CLTools_SDK_macOS_NMOS"",
 ""com.apple.pkg.CLTools_SDK_macOS_LMOS"",
 ""com.apple.pkg.CLTools_macOS_SDK"",
 ""com.apple.pkg.CLTools_SwiftBackDeploy"",
 ""com.apple.pkg.CLTools_SDK_macOS14"",
 ""com.apple.pkg.CLTools_SDK_macOS13"",
 ""com.apple.pkg.CLTools_SDK_macOS12"",
 ""com.apple.pkg.CLTools_SDK_macOS110""
]"
macOS 26.2," 26.2",softwareupdated,2025-12-25T21:21:51Z,,
RosettaUpdateAuto,,bootinstalld,2025-12-25T21:21:57Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
Zoom Workplace,6.6.10.69071,installer,2026-01-03T13:34:21Z,,"[
 ""us.zoom.pkg.videomeeting""
]"
XProtectCloudKitUpdate," 5326",XProtectUpdateService,2026-01-23T08:37:43Z,,
Tableau Public,"""20253.25.1210.1815"" ",Installer,2026-01-27T22:52:43Z,,"[
 ""com.tableausoftware.FLEXNet.11.19.2"",
 ""com.tableausoftware.Public.app""
]"
XProtectPlistConfigData," 5326",softwareupdated,2026-01-28T18:07:03Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4409""
]"
XProtectCloudKitUpdate," 5327",XProtectUpdateService,2026-02-03T22:36:36Z,,
XProtectCloudKitUpdate," 5329",XProtectUpdateService,2026-02-12T14:32:54Z,,
XProtectPlistConfigData," 5329",softwareupdated,2026-02-15T19:20:40Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4412""
]"
macOS 26.3," 26.3",softwareupdated,2026-02-15T20:54:41Z,,
RosettaUpdateAuto,,bootinstalld,2026-02-15T20:54:55Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
XProtectCloudKitUpdate," 5330",XProtectUpdateService,2026-02-18T12:38:06Z,,
XProtectPlistConfigData," 5330",softwareupdated,2026-02-24T16:32:58Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4414""
]"
XProtectPayloads," 157",softwareupdated,2026-02-24T16:32:58Z,config-data,"[
 ""com.apple.pkg.XProtectPayloads_10_15.16U4413""
]"
XProtectCloudKitUpdate," 5331",XProtectUpdateService,2026-02-25T21:48:24Z,,
GarageBand,10.4.13,appstoreagent,2026-02-25T21:50:23Z,,"[
 ""com.apple.pkg.GarageBand_AppStore""
]"
Pages," 14.5",appstoreagent,2026-02-25T21:51:23Z,,"[
 ""com.apple.pkg.Pages14""
]"
Numbers," 14.5",appstoreagent,2026-02-25T21:53:05Z,,"[
 ""com.apple.pkg.Numbers14""
]"
Keynote," 14.5",appstoreagent,2026-02-25T21:53:47Z,,"[
 ""com.apple.pkg.Keynote14""
]"
iMovie,10.4.3,appstoreagent,2026-02-25T21:56:24Z,,"[
 ""com.apple.pkg.iMovie_AppStore""
]"
Zoom Workplace,6.6.11.70003,installer,2026-02-27T13:40:47Z,,"[
 ""us.zoom.pkg.videomeeting""
]"
XProtectCloudKitUpdate," 5332",XProtectUpdateService,2026-03-05T11:56:32Z,,
XProtectCloudKitUpdate," 5333",XProtectUpdateService,2026-03-11T20:01:26Z,,
XProtectCloudKitUpdate," 5334",XProtectUpdateService,2026-03-18T07:32:36Z,,
Zoom Workplace,6.7.7.76486,installer,2026-03-18T07:34:04Z,,"[
 ""us.zoom.pkg.videomeeting""
]"
XProtectCloudKitUpdate," 5335",XProtectUpdateService,2026-03-26T07:42:22Z,,
XProtectPlistConfigData," 5335",softwareupdated,2026-03-26T14:35:13Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4419""
]"
XProtectPlistConfigData," 5336",softwareupdated,2026-04-03T13:22:03Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4420""
]"
XProtectCloudKitUpdate," 5337",XProtectUpdateService,2026-04-03T13:22:55Z,,
XProtectPlistConfigData," 5337",softwareupdated,2026-04-06T10:36:32Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4421""
]"
XProtectPlistConfigData," 5338",softwareupdated,2026-04-10T14:10:32Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4423""
]"
Command Line Tools for Xcode 26.4," 26.4",softwareupdated,2026-04-16T14:30:14Z,,"[
 ""com.apple.pkg.CLTools_Executables"",
 ""com.apple.pkg.CLTools_SDK_macOS_NMOS"",
 ""com.apple.pkg.CLTools_SDK_macOS_LMOS"",
 ""com.apple.pkg.CLTools_macOS_SDK"",
 ""com.apple.pkg.CLTools_SwiftBackDeploy"",
 ""com.apple.pkg.CLTools_SDK_macOS14"",
 ""com.apple.pkg.CLTools_SDK_macOS13"",
 ""com.apple.pkg.CLTools_SDK_macOS12"",
 ""com.apple.pkg.CLTools_SDK_macOS110""
]"
macOS 26.4.1,26.4.1,softwareupdated,2026-04-16T15:27:41Z,,
RosettaUpdateAuto,,bootinstalld,2026-04-16T15:27:47Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
Command Line Tools for Xcode 26.4,26.4.1,softwareupdated,2026-04-27T04:04:00Z,,"[
 ""com.apple.pkg.CLTools_Executables"",
 ""com.apple.pkg.CLTools_SDK_macOS_NMOS"",
 ""com.apple.pkg.CLTools_SDK_macOS_LMOS"",
 ""com.apple.pkg.CLTools_macOS_SDK"",
 ""com.apple.pkg.CLTools_SwiftBackDeploy"",
 ""com.apple.pkg.CLTools_SDK_macOS14"",
 ""com.apple.pkg.CLTools_SDK_macOS13"",
 ""com.apple.pkg.CLTools_SDK_macOS12"",
 ""com.apple.pkg.CLTools_SDK_macOS110""
]"
XProtectCloudKitUpdate," 5341",XProtectUpdateService,2026-04-29T01:24:48Z,,
XProtectPlistConfigData," 5341",softwareupdated,2026-04-29T18:33:18Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4425""
]"
XProtectCloudKitUpdate," 5342",XProtectUpdateService,2026-05-06T08:17:17Z,,
XProtectPlistConfigData," 5342",softwareupdated,2026-05-12T04:17:29Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4426""
]"
XProtectCloudKitUpdate," 5344",XProtectUpdateService,2026-05-14T16:03:14Z,,
XProtectPlistConfigData," 5344",softwareupdated,2026-05-17T14:09:38Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4427""
]"
XProtectCloudKitUpdate," 5345",XProtectUpdateService,2026-05-20T08:27:08Z,,
XProtectCloudKitUpdate," 5346",XProtectUpdateService,2026-05-31T11:41:14Z,,
XProtectPlistConfigData," 5347",softwareupdated,2026-06-03T07:17:06Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4430""
]"
Microsoft Teams,26134.1610.4759.7759,Installer,2026-06-13T12:46:01Z,,"[
 ""com.microsoft.teams2"",
 ""com.microsoft.package.Microsoft_AutoUpdate.app"",
 ""com.microsoft.MSTeamsAudioDevice""
]"
Microsoft Teams,26149.1804.4788.5681,installer,2026-06-15T14:34:25Z,,"[
 ""com.microsoft.teams2"",
 ""com.microsoft.MSTeamsAudioDevice""
]"
Command Line Tools for Xcode 26.5," 26.5",softwareupdated,2026-06-16T20:02:55Z,,"[
 ""com.apple.pkg.CLTools_Executables"",
 ""com.apple.pkg.CLTools_SDK_macOS_NMOS"",
 ""com.apple.pkg.CLTools_SDK_macOS_LMOS"",
 ""com.apple.pkg.CLTools_macOS_SDK"",
 ""com.apple.pkg.CLTools_SwiftBackDeploy"",
 ""com.apple.pkg.CLTools_SDK_macOS14"",
 ""com.apple.pkg.CLTools_SDK_macOS13"",
 ""com.apple.pkg.CLTools_SDK_macOS12"",
 ""com.apple.pkg.CLTools_SDK_macOS110""
]"
macOS 26.5.1,26.5.1,softwareupdated,2026-06-16T20:11:54Z,,
RosettaUpdateAuto,,bootinstalld,2026-06-16T20:12:05Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
Zoom Workplace,7.0.5.81138,installer,2026-06-26T19:39:06Z,,"[
 ""us.zoom.pkg.videomeeting""
]"
Microsoft Teams,26163.407.4839.8659,installer,2026-06-29T11:25:31Z,,"[
 ""com.microsoft.teams2"",
 ""com.microsoft.MSTeamsAudioDevice""
]"
XProtectCloudKitUpdate," 5351",XProtectUpdateService,2026-07-16T08:26:48Z,,
Microsoft AutoUpdate,,installer,2026-07-16T09:47:54Z,,"[
 ""com.microsoft.package.Microsoft_AutoUpdate.app""
]"
XProtectPlistConfigData," 5351",softwareupdated,2026-07-17T17:45:21Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4437""
]"
Command Line Tools for Xcode 26.6," 26.6",softwareupdated,2026-07-17T17:49:18Z,,"[
 ""com.apple.pkg.CLTools_Executables"",
 ""com.apple.pkg.CLTools_SDK_macOS_NMOS"",
 ""com.apple.pkg.CLTools_SDK_macOS_LMOS"",
 ""com.apple.pkg.CLTools_macOS_SDK"",
 ""com.apple.pkg.CLTools_SwiftBackDeploy"",
 ""com.apple.pkg.CLTools_SDK_macOS14"",
 ""com.apple.pkg.CLTools_SDK_macOS13"",
 ""com.apple.pkg.CLTools_SDK_macOS12"",
 ""com.apple.pkg.CLTools_SDK_macOS110""
]"
macOS 26.5.2,26.5.2,softwareupdated,2026-07-17T17:56:14Z,,
RosettaUpdateAuto,,bootinstalld,2026-07-17T17:56:25Z,,"[
 ""com.apple.pkg.RosettaUpdateAuto""
]"
Microsoft Teams,26183.1901.4874.5228,installer,2026-07-23T02:04:27Z,,"[
 ""com.microsoft.teams2"",
 ""com.microsoft.MSTeamsAudioDevice""
]"
XProtectCloudKitUpdate," 5352",XProtectUpdateService,2026-07-25T06:25:28Z,,
XProtectCloudKitUpdate," 5353",XProtectUpdateService,2026-07-29T03:52:02Z,,
XProtectPlistConfigData," 5353",softwareupdated,2026-08-03T08:08:34Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4440""
]"
Microsoft Teams,26198.202.4929.7171,installer,2026-08-03T11:00:54Z,,"[
 ""com.microsoft.teams2"",
 ""com.microsoft.MSTeamsAudioDevice""
]"
